"player_name","position","team","headshot_href","streak_total5","streak_total10","status","reason"
"Terance Mann","G","ATL","https://a.espncdn.com/i/headshots/nba/players/full/3907823.png",68.6583829975896,77.7433660817471,"On Fire (last 10)","Last 10 avg (68.8) is 6.9 above season avg (61.8). Boosted by PLAY, DISC"
"LaMelo Ball","G","CHA","https://a.espncdn.com/i/headshots/nba/players/full/4432816.png",79.9676588672038,77.7079203595237,"— Steady","Recent form (69.4) is close to season avg (70.1)"
"Chet Holmgren","C","OKC","https://a.espncdn.com/i/headshots/nba/players/full/4433255.png",77.6349221569867,77.6433778983117,"— Steady","Recent form (68.3) is close to season avg (74.5)"
"Jonathan Isaac","F","ORL","https://a.espncdn.com/i/headshots/nba/players/full/4065654.png",57.8005081064844,77.354094898746,"— Steady","Recent form (59.9) is close to season avg (67.8)"
"Onyeka Okongwu","F","ATL","https://a.espncdn.com/i/headshots/nba/players/full/4431680.png",77.5883750194027,76.9323384623282,"— Steady","Recent form (68.2) is close to season avg (71.8)"
"Jarrett Allen","C","CLE","https://a.espncdn.com/i/headshots/nba/players/full/4066328.png",63.1761741374831,76.6435876560474,"Cold (last 5)","Last 5 avg (62.1) is 12.5 below season avg (74.7). Dragged down by DISC, SCORING"
"Max Strus","G","CLE","https://a.espncdn.com/i/headshots/nba/players/full/4065778.png",66.1634010141002,75.7896300839079,"— Steady","Recent form (63.3) is close to season avg (67.5)"
"Paolo Banchero","F","ORL","https://a.espncdn.com/i/headshots/nba/players/full/4432573.png",70.7950990682569,75.5256303413669,"— Steady","Recent form (65.2) is close to season avg (68.9)"
"Chris Paul","G","SA","https://a.espncdn.com/i/headshots/nba/players/full/2779.png",63.4375207141642,75.3582785189451,"— Steady","Recent form (62.2) is close to season avg (72.8)"
"Kel'el Ware","C","MIA","https://a.espncdn.com/i/headshots/nba/players/full/5105623.png",62.2269059284632,75.1138480186536,"— Steady","Recent form (61.7) is close to season avg (68.4)"
"Toumani Camara","F","POR","https://a.espncdn.com/i/headshots/nba/players/full/4431736.png",77.8840488985624,74.9307314574538,"— Steady","Recent form (68.4) is close to season avg (64.5)"
"Jamal Murray","G","DEN","https://a.espncdn.com/i/headshots/nba/players/full/3936299.png",71.7226309547944,74.6316564878731,"— Steady","Recent form (65.6) is close to season avg (72.7)"
"Isaiah Stewart","F","DET","https://a.espncdn.com/i/headshots/nba/players/full/4432810.png",67.3098306300313,74.3760220602075,"— Steady","Recent form (63.8) is close to season avg (67.9)"
"Marcus Sasser","G","DET","https://a.espncdn.com/i/headshots/nba/players/full/4432107.png",71.6927205007296,74.305157073399,"— Steady","Recent form (65.6) is close to season avg (63.8)"
"Ja'Kobe Walter","G","TOR","https://a.espncdn.com/i/headshots/nba/players/full/4684272.png",84.1909267076804,74.2569469061949,"On Fire (last 5)","Last 5 avg (71.7) is 12.8 above season avg (58.9). Boosted by DEF, IMPACT"
"Julius Randle","F","MIN","https://a.espncdn.com/i/headshots/nba/players/full/3064514.png",54.5510529549711,74.0824026492629,"Cold (last 5)","Last 5 avg (58.5) is 10.8 below season avg (69.3). Dragged down by SCORING, DEF"
"Jaden McDaniels","F","MIN","https://a.espncdn.com/i/headshots/nba/players/full/4431671.png",69.6188635974508,73.9821526935259,"— Steady","Recent form (64.7) is close to season avg (66.8)"
"Darius Garland","G","CLE","https://a.espncdn.com/i/headshots/nba/players/full/4396907.png",58.6128821352272,73.8753103262237,"Cold (last 5)","Last 5 avg (60.2) is 14.3 below season avg (74.5). Dragged down by REB, DEF"
"Kevin Durant","F","PHX","https://a.espncdn.com/i/headshots/nba/players/full/3202.png",72.5963709015706,73.8714812079118,"— Steady","Recent form (66) is close to season avg (71.2)"
"Marcus Smart","G","WSH","https://a.espncdn.com/i/headshots/nba/players/full/2990992.png",74.3765504830686,73.2927962780213,"— Steady","Recent form (66.8) is close to season avg (66.2)"
"Tyler Herro","G","MIA","https://a.espncdn.com/i/headshots/nba/players/full/4395725.png",54.1736346893674,73.2774785630209,"Cold (last 5)","Last 5 avg (58.3) is 12 below season avg (70.3). Dragged down by DISC, DEF"
"Mason Plumlee","C","PHX","https://a.espncdn.com/i/headshots/nba/players/full/2488653.png",87.5443549810541,73.1938222004145,"— Steady","Recent form (73.9) is close to season avg (67.5)"
"Caris LeVert","G","ATL","https://a.espncdn.com/i/headshots/nba/players/full/2991043.png",84.9907875718721,73.0844031176153,"— Steady","Recent form (72.2) is close to season avg (69)"
"Clint Capela","C","ATL","https://a.espncdn.com/i/headshots/nba/players/full/3102529.png",85.1138322065843,73.0345961863796,"— Steady","Recent form (72.3) is close to season avg (69.6)"
"Jimmy Butler III","F","GS","https://a.espncdn.com/i/headshots/nba/players/full/6430.png",74.1131789254513,73.0150333844265,"Cold (last 10)","Last 10 avg (66.8) is 7.7 below season avg (74.6). Dragged down by DEF, DISC"
"Justin Champagnie","F","WSH","https://a.espncdn.com/i/headshots/nba/players/full/4432907.png",75.7081016389134,73.0129784118984,"— Steady","Recent form (67.4) is close to season avg (63.7)"
"Tyus Jones","G","PHX","https://a.espncdn.com/i/headshots/nba/players/full/3135046.png",66.7807248690816,72.5768529620465,"— Steady","Recent form (63.6) is close to season avg (68.1)"
"John Konchar","G","MEM","https://a.espncdn.com/i/headshots/nba/players/full/3134932.png",61.9638668184068,72.3788558800175,"— Steady","Recent form (61.6) is close to season avg (61.9)"
"Rudy Gobert","C","MIN","https://a.espncdn.com/i/headshots/nba/players/full/3032976.png",72.0563021800444,72.3738380334588,"— Steady","Recent form (65.8) is close to season avg (71.1)"
"Jabari Smith Jr.","F","HOU","https://a.espncdn.com/i/headshots/nba/players/full/4432639.png",59.1265625116886,72.3474400105695,"— Steady","Recent form (60.5) is close to season avg (64.4)"
"Zach Collins","F","CHI","https://a.espncdn.com/i/headshots/nba/players/full/4066650.png",68.8524095790492,72.2419958582191,"— Steady","Recent form (64.4) is close to season avg (65.5)"
"Jalen Brunson","G","NY","https://a.espncdn.com/i/headshots/nba/players/full/3934672.png",70.3720174697609,72.1819900227173,"— Steady","Recent form (65.1) is close to season avg (71.8)"
"Mark Williams","C","CHA","https://a.espncdn.com/i/headshots/nba/players/full/4701232.png",54.9317909531958,72.1483277815799,"Cold (last 5)","Last 5 avg (58.7) is 11 below season avg (69.7). Dragged down by REB, DEF"
